Moisture (14%) ,Foreign Matter (0.5%),Broken (15%),Red & Chalky grains (7%),Damaged Grain (2%),Discolored grain(2%),Mixed ( lower class) (10%) (Other Grain),Final Value,Grade
13,0.1,12.9,4.1,1.4,1.9,9.2,8.257,B
13.3,0,12.4,4.3,1.8,1.3,8.9,8.351,B
13.3,0.2,12.8,3.9,1.9,1.5,9.6,8.417,B
13.1,0.4,10.6,4.3,1.5,1.4,9.1,8.137,B
13.8,0.1,12.6,4.1,1.2,1.6,8.7,8.603,B
13,0.4,13.7,4.3,1.6,1.5,8.7,8.407,B
12.9,0.3,13.6,3.7,1.6,0.7,6.8,8.253,B
13,0.1,14.6,5.4,1.2,1.2,8.1,8.478,B
12.7,0.1,13.6,4.2,1.3,1.6,7.4,8.166,B
12.8,0.3,13.5,4.9,1.4,1.3,6.2,8.289,B
13,0.1,10.2,4.5,1.5,0.8,8.4,7.977,B
13.8,0.2,11.9,4.6,1.2,0.9,7.7,8.56,B
12,0.4,14.9,4.4,1.2,0.3,8.4,7.962,B
13.1,0.1,14.6,5.3,1.6,1.5,9.1,8.557,B
12.6,0.1,13.7,5.9,1.4,1.6,9.2,8.251,B
12.4,0.5,14.2,5.7,1.5,1.4,8.9,8.265,B
13.2,0.3,12.3,4.3,1.3,1.3,9.6,8.321,B
13.2,0.2,13.4,5.8,1.4,1.8,7.7,8.542,B
13.1,0.2,13.8,3.9,1.2,1,9.1,8.355,B
13.7,0.2,14.7,4.3,1.6,0.9,9.2,8.793,C
13.2,0.2,14.2,4.9,1.6,0.4,8.9,8.515,B
13.2,0.4,13.2,4.9,1.3,0.3,9.6,8.433,B
13.2,0.3,14.8,3.3,1.2,0.9,9.2,8.479,B
13.4,0.1,14.8,3.1,1.4,0.4,9.1,8.517,B
13.3,0.2,14.6,4.9,1.2,1.6,8.7,8.629,B
13.2,0.1,13.3,2.8,1.5,1.6,8.7,8.3,B
13.5,0.2,13.8,3.4,1.9,1.4,9.2,8.578,B
13.4,0.1,14.2,4.5,1.4,1.5,8.7,8.599,B
13.3,0.1,10.8,3.8,1.5,1.6,8.1,8.17,B
13.3,0,14.2,4.9,1.2,0.8,4.6,8.517,B
13.1,0.2,12.3,4.5,1.5,1.2,4.6,8.273,B
13.2,0.3,12.9,5.9,1.4,1.8,8.2,8.519,B
12.2,0.1,14.3,2.7,1.5,1.5,7.7,7.889,B
13.9,0.1,14.2,2.8,1.6,1.3,9.1,8.734,C
12.5,0.2,13.7,3.3,1.2,1.5,9.2,8.023,B
13.8,0,12.4,3.9,1.3,1.6,8.9,8.555,B
13.9,0.1,14.6,3.5,1.2,1.4,9.6,8.803,C
14,0.1,13.6,5.2,1.8,1.1,9.1,8.896,C
12.4,0.1,13.5,5.8,1.2,1.6,8.7,8.112,B
14,0.2,12.9,5.2,1.7,1.6,8.7,8.86,C
14,0.1,12.4,2.8,1.9,1.5,6.8,8.63,B
13.9,0,14.6,3.2,1.2,1.9,8.1,8.782,C
12.5,0.1,13.3,4.5,1.4,1.5,7.4,8.059,B
11.9,0.2,13.8,3.4,1.5,1.3,6.2,7.75,A
13.6,0.1,14.2,3.9,1.2,1.4,6.1,8.641,B
13.6,0.2,10.8,3.5,0.9,1.7,7.3,8.287,B
12.9,0.1,14.2,4.5,0.6,1.6,5.6,8.305,B
13.5,0.2,12.3,3.5,1.3,1.6,5.8,8.407,B
14,0.4,12.9,3.2,1.2,1.9,5.2,8.742,C
13.6,0.2,14.3,3.2,1.3,1.5,5.2,8.632,B
13.2,0.3,14.2,3.2,1.2,1.3,5.6,8.428,B
13.5,0.3,13.9,4.9,1.6,1.9,5.3,8.715,C
13.5,0.4,13.3,3.5,1.4,1.4,5.4,8.545,B
13.1,0.2,12.7,3.9,0.9,1.2,5.6,8.235,B
13.9,0.3,12.8,3.6,1.3,1.6,3.2,8.684,C
13,0.3,13.9,3.3,1.3,1.2,3.1,8.307,B
13.8,0.1,14.2,3.2,1.4,0.4,9.1,8.664,B
13,0.3,13.6,3.5,1.2,1.2,9.2,8.285,B
13.8,0.2,13.2,3.1,1.9,0.3,8.9,8.603,B
13,0.2,14.9,2.8,0.9,1.6,9.6,8.344,B
13.9,0.1,16.5,3.6,1.6,1.2,7.7,9.016,C
12.9,0.1,12.3,3.5,1.7,1.8,9.1,8.119,B
13.9,0.2,14.8,3.6,1.9,1.8,9.2,8.908,C
13,0.2,13.5,3.2,1.8,1.6,8.9,8.286,B
13.8,0.1,12.5,3.1,1.9,1.3,9.6,8.553,B
12.7,0.3,14.7,4.3,1.8,1.4,9.2,8.345,B
13.8,0.3,12.4,2.8,1.9,1.5,8.7,8.57,B
12.8,0.3,12.8,3.6,1.6,1.2,8.4,8.136,B
13.8,0.3,10.6,2.5,1.9,1.3,7.7,8.361,B
13,0.2,12.6,1.9,2,1.1,9.1,8.097,B
13.8,0.2,13.7,2.5,0.4,1.1,9.2,8.553,B
12,0.1,13.6,3.2,0.9,1.6,8.9,7.722,A
13,0.3,14.6,4.8,1.6,1.5,9.6,8.512,B
13.1,0.2,13.6,4.4,1.6,1.4,9.1,8.41,B
12.9,0.4,13.5,3.6,1.4,1.8,8.7,8.288,B
13,0.2,10.2,4.5,1.5,1.9,8.7,8.041,B
12.6,0.2,14.9,4.6,1.9,1.5,6.8,8.326,B
12.6,0.2,14.9,4.8,1.8,1.2,8.1,8.322,B
12,0.1,14.6,4.1,1.8,1.6,7.4,7.939,B
13,0.3,13.7,4.2,1.6,1.6,6.2,8.384,B
13.9,0.2,14.2,4.1,1.9,1.2,6.1,8.859,C
13,0.3,12.3,5.1,1.6,1.3,7.3,8.295,B
13.3,0.1,13.4,5.1,1.6,1.4,5.6,8.519,B
13.3,0.4,13.8,5.1,1.3,1.5,7.9,8.605,B
13.1,0.1,14.7,5.2,1.2,1.2,6.3,8.524,B
13.8,0.2,14.2,5.8,1.6,1.2,9.6,8.91,C
13,0.2,13.2,5.2,1.2,1.6,9.1,8.36,B
12.9,0.2,14.8,5.2,1.3,1.4,9.3,8.468,B
13,0.3,14.8,5.6,1.5,1.5,9.3,8.582,B
12.7,0.4,14.6,5.3,1.4,1.3,9.1,8.397,B
12.8,0.2,13.3,5.4,1.5,1.4,8.1,8.294,B
13,0.1,13.8,5.6,1.9,1.2,8.1,8.454,B
13.8,0.4,14.2,3.2,1.6,1.6,8.9,8.784,C
12,0,10.8,3.1,1.6,1.6,9.6,7.457,A
13.1,0.1,14.2,3.8,1.6,1.3,9.1,8.404,B
12.6,0,12.3,3.8,1.2,1.2,9.3,7.916,B
12.4,0.4,12.9,3.8,1.3,1.4,9.3,7.97,B
13.2,0.5,12.4,3.8,1.2,1.2,9.1,8.326,B
13.2,0.2,14.9,3.1,1.5,1.5,8.1,8.497,B
13.1,0.2,14.6,4.3,0.5,1.9,8.1,8.457,B
13.7,0.3,13.7,4.6,0.9,1.4,8.9,8.712,C
13.2,0.2,14.2,4.1,1.2,1.5,9.1,8.479,B
13.2,0.2,13.2,3.7,1.6,1.2,9.3,8.363,B
13.2,0.4,13.4,3.8,1.3,1.5,9.1,8.424,B
13.4,0.1,13.8,4.3,1.4,1.4,8.4,8.541,B
13.3,0.4,14.7,4.9,1.5,1.5,7.7,8.693,C
13.2,0.1,14.2,4.9,1.2,1.6,8.4,8.519,B
13.5,0.2,13.2,3.3,1.3,1.2,9.1,8.467,B
13.4,0,14.8,3.1,1.1,1.3,9.2,8.515,B
13.3,0.3,14.8,4.9,1.1,1.2,8.9,8.647,B
13.3,0.1,14.6,2.8,1.6,1.8,9.6,8.494,B
13.1,0.1,13.3,3.4,1.5,1.2,7.7,8.276,B
13.2,0.3,13.8,4.5,1.4,1.7,9.1,8.507,B
12.2,0.1,12.5,3.8,1.8,1.9,9.2,7.82,A
13.9,0.2,10.8,4.9,1.9,1.2,8.9,8.575,B
12.5,0.4,14.2,4.5,1.5,1.4,9.6,8.211,B
13.8,0.1,12.3,5.9,1.2,1.5,9.2,8.695,C
13.9,0.1,12.9,2.7,1.6,1.2,9.1,8.593,B
14,0.5,14.3,2.8,1.6,0.9,8.7,8.858,C
12.4,0.3,13.3,3.3,1.2,0.6,8.7,7.917,B
14,0.2,14.2,3.9,1.3,1.3,9.2,8.863,C
14,0.2,13.5,3.5,1.4,1.2,8.7,8.767,C
13.9,0.1,13.6,5.2,1.5,1.3,8.1,8.836,C
12.5,0.2,13.2,5.8,1.2,0.9,4.6,8.124,B
11.9,0.1,12.4,5.2,1.2,0.4,4.6,7.662,A
13.6,0.1,12.8,2.8,1.6,1.9,8.2,8.468,B
13.6,0.1,10.6,3.2,1.4,0.5,7.7,8.208,B
12.9,0.2,12.6,4.5,1.5,1.9,9.1,8.231,B
13.5,0.1,13.7,3.4,1.3,1.3,9.2,8.508,B
14,0.2,13.6,3.9,1.4,1.5,8.9,8.817,C
13.6,0.1,14.6,3.5,1.2,1.4,9.6,8.653,B
13.2,0.1,13.6,4.5,1.6,1.6,9.1,8.455,B
13.5,0.1,13.5,3.5,1.6,1.5,8.7,8.521,B
13.5,0.2,10.2,3.2,1.3,0.7,8.7,8.14,B
13.1,0.2,15,3.2,1.2,1.2,6.8,8.434,B
13.9,0.1,13.1,3.2,1.4,1.6,8.1,8.652,B
13,0.3,14.6,4.9,1.2,1.3,7.4,8.487,B
13.8,0.3,13.7,3.5,1.5,0.8,6.2,8.697,C
13,0.1,14.2,3.9,1.9,0.9,6.1,8.363,B
13.8,0.3,12.3,3.6,1.4,0.3,7.3,8.538,B
13,0.2,13.4,3.3,1.5,1.5,5.6,8.261,B
13.9,0.2,13.8,3.2,1.2,1.6,7.9,8.73,C
12.9,0.1,14.7,3.5,1.5,1.4,6.3,8.331,B
13.9,0.3,14.2,3.1,1.4,1.3,9.6,8.783,C
12,0.2,13.2,2.8,1.5,1.8,9.1,7.718,A
14,0.4,14.8,3.6,1.6,1.6,9.3,8.972,C
13.1,0.4,14.8,3.5,1.2,0.9,9.3,8.463,B
13.3,0.4,14.6,3.6,1.3,0.4,9.1,8.536,B
13.1,0.1,13.3,3.2,1.2,0.3,8.1,8.208,B
13.2,0.4,13.8,3.1,1.8,0.9,8.1,8.421,B
13.1,0.1,14.2,4.3,1.2,0.4,8.9,8.379,B
13,0.2,10.8,2.8,1.7,1.6,9.6,7.982,B
12.9,0,11.9,3.6,1.9,1.6,9.1,8.07,B
12,0.3,14.9,2.5,1.2,1.4,9.3,7.853,B
12.5,0.1,14.6,1.9,1.4,1.5,9.3,8.007,B
12,0.1,13.7,2.5,1.5,1.6,9.1,7.719,A
13.1,0.3,14.2,3.2,1.2,0.8,8.1,8.358,B
12.3,0.1,12.3,4.8,1.1,1.2,8.1,7.85,B
12.3,0.2,13.4,4.4,1,1.9,8.9,7.974,B
12.4,0.4,13.8,3.6,1.3,0.5,9.1,8.01,B
12.7,0.1,14.7,4.5,1.2,1.9,9.3,8.303,B
12.4,0.1,14.2,4.6,1.3,1.3,9.1,8.092,B
12.4,0.5,13.2,4.8,0.9,1.5,8.4,8.07,B
12.6,0.3,14.8,4.1,0.4,1.4,7.7,8.207,B
12.5,0.2,14.8,4.2,1.9,1.6,8.4,8.242,B
12.7,0.2,14.6,4.1,0.5,1.5,9.1,8.227,B
13,0,13.3,5.1,1.9,0.7,9.2,8.329,B
12.7,0.1,13.8,5.1,1.3,1.2,8.9,8.233,B
13.1,0.1,14.2,5.1,1.5,1.6,9.6,8.501,B
12.3,0.2,10.8,5.2,1.4,1.3,7.7,7.77,A
12.7,0.1,14.2,5.8,1.6,0.8,9.1,8.324,B
12.9,0.2,12.3,5.2,1.5,0.9,9.2,8.21,B
13.9,0.1,12.9,5.2,0.7,0.3,8.9,8.678,C
14,0.2,14.3,5.6,1.2,1.5,9.6,8.994,C
12.8,0.1,14.2,5.3,1.6,1.6,9.2,8.371,B
12.8,0.1,13.7,5.4,1.3,1.4,9.1,8.302,B
12.6,0,12.4,5.6,0.8,1.3,8.7,8.032,B
12.9,0.2,14.6,3.2,0.9,1.8,8.7,8.3,B
13.2,0.3,13.6,3.1,0.3,1.1,9.2,8.299,B
13.1,0.1,13.5,3.8,1.5,0.9,8.7,8.312,B
12,0.1,12.9,3.8,1.6,0.4,8.1,7.688,A
12.2,0.2,12.4,3.8,1.4,0.3,4.6,7.742,A
13.9,0,14.9,3.8,1.3,0.9,4.6,8.82,C
13.3,0.1,14.6,3.1,1.8,0.4,9.1,8.471,B
13.1,0.1,13.7,4.3,1,1.6,8.7,8.365,B
13,0.1,14.2,4.6,0.9,1.6,8.7,8.38,B
13.1,0.2,13.2,4.1,0.4,1.4,6.8,8.277,B
12.1,0.1,13.4,3.7,0.3,1.5,8.1,7.747,A
12,0,13.8,3.8,0.9,1.6,7.4,7.764,A
12.5,0.1,14.7,4.3,0.4,0.8,6.2,8.097,B
12.5,0.2,14.2,3.9,1.6,1.2,6.1,8.127,B
12.6,0.1,13.2,4.3,1.6,1.8,7.3,8.109,B
12.7,0.2,14.8,4.4,1.4,1.5,5.6,8.322,B
12.6,0.1,14.8,3.7,1.5,1.8,7.9,8.221,B
12.5,0.2,14.6,3.5,1.6,1.9,6.3,8.167,B
12.9,0.4,13.3,4.7,0.8,1.5,9.6,8.297,B
12.6,0.2,13.8,4.1,1.2,1.2,9.1,8.127,B
12.8,0.3,12.5,5.2,1.8,1.6,9.3,8.246,B
12.3,0.3,10.8,5.8,1.5,1.6,9.3,7.85,B
12.3,0.4,14.2,3.2,1.3,1.2,9.1,8,B
12.5,0.2,12.3,3.5,1.5,1.3,8.1,7.907,B
12.4,0.3,12.9,5.2,1.6,1.4,8.1,8.066,B
12.8,0.3,14.3,3.2,1.4,1.5,8.9,8.258,B
13.1,0.1,12.3,2.8,1.1,1.2,9.6,8.11,B
12.9,0.3,14.2,4.5,1.6,1.2,9.1,8.389,B
12.6,0.2,13.5,4.2,1.6,1.6,9.3,8.144,B
12.8,0.2,13.6,3.8,1.5,1.4,9.3,8.212,B
13.2,0.1,14.9,5.4,1.9,1.5,9.1,8.662,B
12.8,0.2,12.4,5.7,1.5,1.3,8.1,8.221,B
13.8,0.1,12.8,5.6,1.3,1.4,8.1,8.726,C
13.2,0.1,10.6,5.2,1.4,1.2,8.9,8.176,B
13.9,0.2,12.6,5.6,1.7,1.6,9.1,8.808,C
12.9,0.3,13.7,5.2,1.6,1.6,9.3,8.404,B
12.9,0.2,13.6,5.1,1.6,1.3,9.1,8.355,B
12.5,0.3,14.6,4.9,1.9,1.2,8.4,8.275,B
14,0.2,13.6,5.1,1.5,1.4,7.7,8.903,C
13.9,0.3,13.5,4.8,1.3,1.2,8.4,8.822,C
12.7,0.3,10.2,5.1,1.9,1.5,9.1,7.961,B
12.6,0.2,12.9,4.3,1.4,1.9,9.2,8.091,B
12.8,0.3,13.2,5.9,1.2,1.4,8.9,8.321,B
12.7,0.3,14.6,4.1,1.6,1.5,9.6,8.313,B
12.8,0.2,13.7,5.6,1.2,1.2,7.7,8.322,B
13.1,0.2,14.2,4.8,0.4,1.5,9.1,8.43,B
13.2,0.3,12.3,5.9,1.2,1.4,9.2,8.431,B
13,0.3,13.4,4.3,0.3,1.5,8.9,8.279,B
13,0.2,13.8,5.7,1.6,1.6,9.6,8.479,B
12.3,0.3,14.7,4.5,1.2,1.2,9.2,8.115,B
12.5,0.2,14.2,3.8,1.8,1.3,9.1,8.136,B
12.55,0.2,13.2,4.3,1.8,1.2,8.7,8.092,B
11.6,0.2,14.8,4.6,1.6,1.8,8.7,7.81,A
12.5,0.3,14.8,4.1,1.3,1.2,9.2,8.203,B
12.6,0.3,14.6,3.7,1.4,1.7,8.7,8.231,B
11.7,0.2,13.3,3.8,1.5,1.9,8.1,7.652,A
12.1,0.3,13.8,4.1,1.2,1.2,4.6,7.897,B
12.5,0.2,14.2,4.3,1.3,1.4,4.6,8.145,B
12.6,0.3,10.8,3.9,1.1,1.5,8.2,7.839,B
12.5,0.2,14.2,4.3,1.1,1.2,7.7,8.125,B
11.3,0.3,12.3,4.1,1.6,0.9,9.1,7.359,A
12.2,0.4,12.9,4.3,1.5,0.6,9.2,7.885,B
12.5,0.5,14.3,3.7,1.4,1.3,8.9,8.175,B
12.8,0.5,14.2,5.4,1.8,1.2,9.6,8.454,B
12.9,0.5,13.9,4.2,1.9,1.3,9.1,8.4,B
12.5,0.3,13.3,4.9,1.5,0.9,8.7,8.109,B
12.5,0.2,12.7,4.5,1.2,0.4,8.7,7.963,B
12.7,0.5,12.8,4.6,1.6,1.9,6.8,8.224,B
12.3,0.5,13.9,4.4,1.6,0.5,8.1,8.064,B
12.8,0.4,12.8,5.3,1.2,1.9,7.4,8.279,B
12.7,0.1,13.6,5.9,1.3,1.3,6.2,8.273,B
12.5,0.3,13.2,5.7,1.4,1.5,6.1,8.173,B
12.6,0.1,14.9,4.3,1.5,1.4,7.3,8.257,B
12.3,0.5,12.7,5.8,1.2,1.6,5.6,8.062,B
12.8,0.4,12.3,3.9,1.2,1.5,5.8,8.115,B
12.5,0.2,14.8,4.3,1.6,0.7,5.2,8.195,B
12.7,0.2,13.5,4.9,1.4,1.2,5.2,8.215,B
13,0.1,12.5,4.9,1.5,1.6,5.6,8.267,B
12.8,0.1,14.8,3.3,1.3,1.3,5.3,8.261,B
10.8,0.2,14.6,3.1,1.4,0.8,5.4,7.233,A
12.4,0.2,13.3,4.9,1.2,0.9,5.6,8.021,B
12.5,0.1,13.8,2.8,1.6,0.3,3.2,7.954,B
11.3,0.3,12.5,3.4,1.6,1.5,3.1,7.354,A
11.5,0.3,10.8,4.5,1.3,1.6,3.8,7.347,A
10.8,0.3,14.2,3.8,1.2,1.4,3.8,7.274,A
10.9,0.3,12.3,4.9,1.4,1.3,3.8,7.219,A
11.2,0.2,12.9,4.5,1.2,1.8,3.8,7.389,A
12.2,0.2,14.3,5.9,1.5,1.6,3.1,8.137,B
12,0.1,12.6,2.7,1.9,0.9,4.3,7.619,A
11.7,0.3,14.2,2.8,1.4,0.4,4.6,7.626,A
12.8,0.2,13.5,3.3,1.5,0.3,4.1,8.123,B
12.1,0.4,13.6,3.9,1.2,0.9,3.7,7.871,B
12.2,0.2,12.5,3.5,1.5,0.4,3.8,7.741,A
11.9,0.2,12.4,5.2,1.4,1.6,4.3,7.742,A
11.8,0.2,12.8,5.8,1.5,1.6,3.9,7.78,A
12.5,0.1,10.6,5.2,1.6,1.4,4.3,7.846,B
12.7,0.3,12.6,2.8,1.2,1.5,4.4,7.998,B
12.2,0.2,13.7,3.2,1.3,1.6,3.7,7.876,B
11.1,0.3,13.6,4.5,1.2,0.8,3.5,7.389,A
11.9,0.1,14.6,3.4,1.8,1.2,4.7,7.824,A
12,0.4,13.6,3.9,1.2,1.9,4.1,7.861,B
12.1,0.1,13.5,3.5,1.7,0.5,5.2,7.787,A
11.1,0.2,10.2,4.5,1.9,1.9,5.8,7.115,A
12.2,0.2,12.4,3.5,1.2,1.3,3.2,7.749,A
12.8,0.2,14.9,3.2,1.4,1.5,3.5,8.298,B
11.8,0.3,14.6,3.2,1.5,1.4,5.2,7.79,A
12.6,0.4,13.7,3.2,1.2,1.6,3.2,8.11,B
11.8,0.2,14.2,4.9,0.9,1.5,2.8,7.817,A
11.7,0.1,12.3,3.5,0.6,0.7,4.5,7.409,A
11.5,0.4,13.4,3.9,1.3,1.2,4.2,7.569,A
11.6,0,13.8,3.6,1.2,1.6,3.8,7.568,A
12.5,0.1,14.7,3.3,1.3,1.3,5.4,8.101,B
12.9,0,14.2,3.2,0.9,0.8,5.7,8.18,B
12.8,0.4,13.2,3.5,0.4,0.9,5.6,8.105,B
12.2,0.5,14.8,3.1,1.9,0.3,5.2,8.023,B
12.8,0.2,14.8,2.8,0.5,1.5,5.6,8.206,B
11.6,0.2,14.6,3.6,1.9,1.6,5.2,7.73,A
12.5,0.3,13.3,3.5,1.3,1.4,5.1,8.019,B
12.1,0.2,13.8,3.6,1.5,1.3,4.9,7.864,B
13.8,0.2,14.2,3.2,1.4,1.8,5.1,8.74,C
13.9,0.4,10.8,3.1,1.6,1.1,4.8,8.467,B
13.1,0.1,14.2,4.3,1.5,0.9,5.1,8.417,B
13.9,0.4,12.3,2.8,0.7,0.4,4.3,8.514,B
13.5,0.1,12.9,3.6,1.2,0.3,5.9,8.396,B
13.9,0.2,14.3,2.5,1.6,0.9,4.1,8.727,C
13,0,14.2,1.9,1.3,0.4,5.6,8.147,B
13.9,0.3,13.9,2.5,0.8,1.6,4.8,8.687,C
13.3,0.1,13.3,3.1,0.9,1.6,5.9,8.335,B
13.9,0.1,12.7,2.8,0.3,1.4,6.2,8.51,B
13.3,0.3,12.8,3.6,1.5,1.5,6.8,8.392,B
13.5,0.1,13.9,3.5,1.6,1.6,8.4,8.565,B
13.1,0.2,12.3,3.6,1.4,0.8,9.6,8.188,B
13.9,0.4,13.6,3.2,1.3,1.2,9.1,8.74,C
13,0.1,13.2,3.1,1.8,1.8,9.3,8.237,B
13.8,0.1,14.9,4.3,1.6,1.5,9.3,8.867,C
13,0.5,12.2,2.8,0.9,1.3,9.1,8.122,B
13.8,0.3,12.3,3.6,0.4,1.5,8.1,8.526,B
13,0.2,14.8,2.5,0.3,1.6,8.1,8.277,B
13.9,0.2,13.5,1.9,0.9,1.4,8.9,8.583,B
12.9,0.1,12.5,2.5,0.4,1.1,9.1,7.963,B
13.9,0.2,12.1,3.2,1.6,1.6,9.3,8.584,B
13,0.1,12.4,3.5,1.6,1.6,9.1,8.165,B
13.8,0.1,12.8,4.5,1.4,1.5,8.4,8.659,B
12.7,0.1,10.6,4.6,1.5,1.9,7.7,7.918,B
13.8,0.2,12.6,4.8,1.6,1.5,8.4,8.692,C
12.8,0.1,14.6,4.1,0.8,1.3,9.1,8.267,B
13.8,0.2,13.6,4.2,1.2,1.4,9.2,8.722,C
13,0.1,13.5,4.1,1.9,1.7,8.9,8.339,B
13.8,0.1,10.2,5.1,0.5,1.6,9.6,8.391,B
12,0.1,15,5.1,1.9,1.6,7.7,8.055,B
13,0.2,13.1,5.1,1.3,1.9,9.1,8.361,B
13.1,0.2,14.6,5.2,1.5,1.5,9.2,8.564,B
12.9,0.1,13.7,5.8,1.4,1.3,8.9,8.382,B
13,0.3,14.2,5.2,1.6,1.9,9.6,8.516,B
12.6,0.3,12.3,5.2,1.5,1.4,9.2,8.1,B
13.1,0.1,13.4,5.6,0.7,1.2,9.1,8.392,B
12.5,0.3,13.8,5.3,1.2,1.6,8.7,8.197,B
12.4,0.2,14.7,5.4,1.6,1.2,8.7,8.232,B
