Moisture (14%) ,Foreign Matter (0.5%),Broken (15%),Red & Chalky grains (7%),Damaged Grain (2%),Discolored grain(2%),Mixed ( lower class) (10%) (Other Grain),Final Value,Grade
12.5,0.4,13.6,3.9,0.8,1.5,8.4,8.071,B
12.1,0.2,13.2,3.5,1.3,1.2,9.1,7.781,A
13.8,0.3,14.9,4.5,1.2,1.3,9.2,8.889,C
13.9,0.3,12.7,3.5,1.3,1.1,8.9,8.647,B
13.1,0.4,12.3,3.2,1.2,1.1,9.6,8.2,B
13.9,0.2,14.8,3.2,1.6,1.6,7.7,8.854,C
13.5,0.3,13.5,3.2,1.4,1.5,9.1,8.528,B
13.9,0.3,12.5,4.9,0.9,1.4,9.2,8.713,C
13,0.1,14.8,3.5,1.3,1.8,8.9,8.395,B
13.9,0.3,14.6,3.9,1.3,1.9,9.6,8.897,C
13.3,0.2,13.3,3.6,1.4,1.5,9.2,8.416,B
13.9,0.2,13.8,3.3,1.2,1.2,9.1,8.721,C
13.3,0.1,12.5,3.2,1.9,1.6,8.7,8.322,B
13.5,0.2,10.8,3.5,0.9,1.6,8.7,8.233,B
13.1,0.1,14.2,3.1,1.6,1.2,9.2,8.351,B
13.9,0.1,12.3,2.8,1.7,1.3,8.7,8.55,B
13,0.2,12.9,3.6,1.9,1.4,8.1,8.252,B
13.8,0.3,14.3,3.5,1.8,1.5,8.1,8.803,C
13,0.2,12.6,3.6,1.9,1.2,8.9,8.214,B
13.8,0.3,14.2,3.2,1.8,1.2,9.1,8.76,C
13,0.2,13.5,3.1,1.9,1.6,9.3,8.285,B
13.9,0.3,13.6,4.3,1.6,1.4,9.1,8.823,C
12.9,0.3,12.5,2.8,1.9,1.5,8.4,8.13,B
13.9,0.2,12.4,3.6,2,1.3,7.7,8.654,B
13,0.3,12.8,2.5,0.4,1.4,8.4,8.095,B
13.8,0.3,10.6,1.9,0.9,1.2,9.1,8.255,B
12.7,0.2,12.6,2.5,1.6,1.6,9.2,7.985,B
13.8,0.2,13.7,3.1,1.6,1.6,8.9,8.687,C
12.8,0.3,13.6,2.8,1.4,1.3,9.6,8.152,B
13.8,0.3,14.6,3.6,1.5,1.2,7.7,8.81,C
13,0.2,13.6,5.6,1.9,1.4,9.1,8.462,B
13.8,0.3,13.5,5.3,1.8,1.2,9.2,8.837,C
12,0.2,10.2,5.4,1.8,1.5,8.9,7.606,A
13,0.2,12.4,5.6,1.6,1.9,9.6,8.344,B
13.1,0.2,14.9,3.2,1.9,1.4,9.2,8.474,B
12.9,0.3,14.6,3.1,1.6,1.5,9.1,8.343,B
13,0.3,13.7,3.8,1.6,1.2,8.7,8.34,B
12.6,0.2,14.2,3.8,1.3,1.5,8.7,8.164,B
13.1,0.3,12.3,3.8,1.2,1.4,9.2,8.234,B
12.5,0.2,13.4,3.8,1.6,1.5,8.7,8.052,B
12.4,0.3,13.8,3.1,1.2,1.6,8.1,7.993,B
11.5,0.2,14.7,4.3,1.3,1.2,4.6,7.687,A
13.2,0.3,14.2,4.6,1.5,1.3,4.6,8.544,B
13.3,0.4,13.2,4.1,1.4,1.2,8.2,8.469,B
13.2,0.5,14.8,3.7,1.5,1.8,6.2,8.601,B
13.4,0.5,14.8,3.8,1.9,1.2,6.1,8.708,C
13.8,0.5,14.6,4.3,1.6,1.7,7.3,8.925,C
13.1,0.3,13.3,3.9,1.6,1.9,5.6,8.385,B
13.7,0.2,13.8,4.3,1.6,1.2,7.9,8.715,C
13.7,0.5,14.2,4.4,1.2,1.4,6.8,8.806,C
12.8,0.5,10.8,3.7,1.3,1.5,8.4,7.977,B
13.2,0.4,14.2,3.5,1.2,1.2,9.6,8.465,B
13.6,0.1,12.3,4.7,1.5,0.9,9.1,8.505,B
13.2,0.4,12.9,4.1,0.5,0.6,9.3,8.311,B
13.5,0.2,14.3,5.2,0.9,1.3,9.3,8.69,C
13.2,0.3,14.2,5.8,1.2,1.2,9.1,8.606,B
13.4,0.3,13.9,3.2,1.6,1.3,8.1,8.522,B
13.3,0.1,13.3,3.5,1.3,1.6,8.1,8.387,B
13.3,0.3,12.7,5.2,1.4,1.2,8.9,8.476,B
13.1,0.2,12.8,3.2,1.5,1.8,9.1,8.256,B
13.2,0.2,13.9,2.8,1.2,1.8,9.3,8.37,B
13.3,0.1,12.3,4.5,1.3,1.6,9.1,8.357,B
13.5,0.1,13.6,4.2,1.1,1.3,8.4,8.542,B
13.2,0.2,13.2,3.8,1.1,1.4,7.7,8.348,B
13.4,0.2,14.9,5.4,1.6,1.5,8.4,8.764,C
13.6,0.1,12.2,5.7,1.5,1.2,9.1,8.577,B
13.3,0.3,12.3,5.6,1.4,1.3,9.2,8.468,B
13.3,0.3,14.8,5.2,1.8,1.1,8.9,8.706,C
13.2,0.3,13.5,5.6,1.9,1.1,9.6,8.56,B
13.3,0.3,12.5,5.2,1.5,1.6,7.7,8.478,B
13.1,0.2,12.1,5.1,1.2,1.5,9.1,8.289,B
13.3,0.2,12.4,4.9,1.6,1.4,9.2,8.425,B
13.3,0.1,12.8,5.1,1.6,1.8,8.9,8.475,B
13.1,0.3,10.6,4.8,1.2,1.9,9.6,8.154,B
13.2,0.2,12.6,5.1,1.3,1.5,9.2,8.395,B
13.3,0.4,13.7,4.3,1.4,1.2,9.1,8.533,B
12.2,0.2,13.6,5.9,1.5,1.6,8.7,8.067,B
12.7,0.2,14.6,4.1,1.2,1.6,8.7,8.273,B
13.4,0.2,13.6,5.6,1.2,1.2,9.2,8.612,B
13.9,0.1,13.5,4.8,1.6,1.3,8.7,8.804,C
11.4,0.3,10.2,5.9,1.4,1.4,8.1,7.333,A
12.5,0.2,14.9,4.3,1.5,1.5,8.1,8.231,B
13.8,0.3,14.9,5.7,1.3,1.2,8.9,8.975,C
13.6,0.1,14.6,4.5,1.4,1.2,9.1,8.727,C
13.5,0.4,13.7,3.8,1.2,1.6,9.3,8.602,B
13.9,0.1,14.2,4.3,1.6,1.4,9.1,8.843,C
14,0.2,12.3,4.6,1.6,1.5,8.4,8.748,C
12.5,0.2,13.4,4.1,1.3,1.3,7.7,8.047,B
12.8,0.2,13.8,3.7,1.2,1.4,8.4,8.207,B
12.4,0.3,14.7,3.8,1.4,1.2,9.1,8.128,B
13.8,0.4,14.2,4.1,1.2,1.6,9.2,8.823,C
14,0.2,13.2,4.3,1.5,1.6,8.9,8.815,C
12.8,0.1,14.8,3.9,1.9,1.3,9.6,8.339,B
14,0.4,14.8,4.3,1.4,1.2,7.7,8.993,C
13.5,0.1,14.6,4.1,1.5,1.4,9.1,8.663,B
13.9,0.1,13.3,4.3,1.2,1.2,9.2,8.721,C
14,0.1,13.8,3.7,1.5,1.5,8.9,8.809,C
12.5,0.5,14.2,5.4,1.4,1.9,9.6,8.308,B
12.7,0.5,10.8,4.2,1.5,1.4,9.2,7.97,B
11.9,0.2,14.2,4.9,1.6,1.5,9.1,7.909,B
12.4,0.3,12.3,4.5,1.2,1.2,8.7,7.925,B
11.8,0.2,12.9,4.6,1.3,1.5,8.7,7.69,A
12.5,0.2,14.3,4.4,1.2,1.4,9.2,8.156,B
13.6,0.2,14.2,5.3,1.8,1.5,8.7,8.799,C
13.2,0.4,14.9,5.9,1.2,1.6,8.1,8.719,C
13.6,0.1,14.6,5.7,1.7,1.2,4.6,8.829,C
14,0.4,13.7,4.3,1.9,1.3,4.6,8.917,C
12.9,0.3,14.2,5.8,1.2,1.2,8.2,8.456,B
13.2,0.1,13.2,3.9,1.4,1.8,6.2,8.369,B
12.9,0.1,13.4,4.3,1.5,1.2,6.1,8.249,B
13.5,0.3,13.8,4.9,1.2,1.7,7.3,8.673,C
12.5,0.1,14.7,4.9,1.1,1.9,5.6,8.225,B
13.8,0.2,14.2,3.3,1,1.2,7.9,8.699,C
14,0.4,13.2,3.1,1.3,1.4,6.3,8.751,C
12.5,0.1,14.8,4.9,1.2,1.5,9.6,8.225,B
12.4,0.1,14.8,2.8,1.3,1.2,9.1,8.022,B
13.6,0.5,14.6,3.4,0.9,0.9,9.3,8.688,C
14,0.3,13.3,4.5,0.4,0.3,9.3,8.741,C
13.2,0.2,13.8,3.8,1.9,1.3,9.1,8.452,B
13.5,0.2,12.5,4.5,0.5,1.2,8.1,8.433,B
12.5,0.5,10.8,3.4,1.9,1.3,8.1,7.834,B
12,0.3,14.2,3.9,1.3,0.9,8.9,7.867,B
14,0.1,12.3,3.5,1.5,0.4,9.6,8.601,B
13.1,0.1,12.9,4.5,1.4,1.9,9.1,8.335,B
13.1,0.3,14.3,3.5,1.6,0.5,9.3,8.401,B
12,0.1,13.4,3.2,1.5,1.9,9.3,7.75,A
12.3,0.2,14.2,3.2,0.7,1.3,9.1,7.928,B
12.3,0.4,13.5,3.2,1.2,1.5,8.1,7.936,B
12.7,0.1,13.6,4.9,1.6,1.4,8.1,8.225,B
12.4,0.1,14.2,3.5,1.3,1.6,8.9,8.027,B
12.5,0.5,12.4,3.9,0.8,1.5,9.1,7.971,B
13,0.3,12.8,3.6,0.9,0.7,9.3,8.174,B
12.3,0.2,10.6,3.3,0.3,1.2,9.1,7.547,A
14,0.2,12.6,3.2,1.5,1.6,8.4,8.678,C
12.9,0.5,13.7,3.5,1.6,1.3,7.7,8.313,B
12.2,0.2,13.6,3.1,1.4,0.8,8.4,7.833,A
13.1,0.2,14.6,2.8,1.3,0.9,9.1,8.36,B
12.5,0.1,13.6,3.6,1.8,0.3,9.2,8.002,B
12.9,0.1,13.5,3.5,1,1.5,8.9,8.185,B
12.3,0.2,10.2,3.6,0.9,1.6,9.6,7.58,A
12.8,0.1,11.9,3.2,0.4,1.4,7.7,7.914,B
12.9,0.2,14.9,3.1,0.3,1.3,9.1,8.267,B
12.8,0.1,14.6,4.3,0.9,1.8,9.2,8.307,B
13.8,0.1,13.7,2.8,0.4,1.6,8.9,8.574,B
12.9,0.2,14.2,3.6,1.6,0.9,9.6,8.294,B
12.5,0.2,12.3,2.5,1.6,0.4,9.2,7.807,A
12.7,0.3,13.4,1.9,1.4,0.3,9.1,7.979,B
12.7,0.1,13.8,2.5,1.5,0.9,8.7,8.051,B
13.1,0.1,14.7,3.2,1.6,0.4,8.7,8.376,B
13,0.2,14.2,4.8,0.8,1.6,9.2,8.408,B
12.5,0,13.2,4.4,1.2,1.6,8.7,8.014,B
11.6,0.1,14.8,3.6,1.8,1.4,8.1,7.716,A
11.7,0.1,14.8,4.5,1.5,1.5,4.6,7.815,A
12.5,0.1,14.6,4.6,1.3,1.6,4.6,8.194,B
12.5,0.2,13.3,4.8,1.5,0.8,8.2,8.078,B
12.5,0.1,13.8,4.1,1.6,1.2,7.7,8.081,B
12.7,0,14.2,4.2,1.4,1.9,9.1,8.224,B
12.3,0.1,10.8,4.1,1.1,0.5,9.2,7.623,A
12.5,0.2,14.2,5.1,1.6,1.9,8.9,8.239,B
12.8,0.4,12.3,5.1,1.6,1.3,9.6,8.215,B
13,0.2,12.9,5.1,1.5,1.5,9.1,8.337,B
10.8,0.3,14.3,5.2,1.9,1.4,8.7,7.424,A
11.3,0.3,14.2,5.8,1.5,1.6,8.7,7.69,A
10.8,0.4,14.7,5.2,1.3,1.5,6.8,7.452,A
12.2,0.2,14.2,5.2,1.4,0.7,8.1,8.036,B
12.8,0.3,13.2,5.6,1.7,1.2,7.4,8.322,B
12.2,0.3,14.8,5.3,1.6,1.6,6.2,8.171,B
12.5,0.1,14.8,5.4,1.6,1.3,6.1,8.276,B
12.2,0.3,14.6,5.6,1.9,0.8,7.3,8.158,B
12,0.2,13.3,3.2,1.5,0.9,5.6,7.72,A
12.2,0.2,13.8,3.1,1.3,0.3,7.9,7.827,A
11.8,0.1,14.2,3.8,1.9,1.5,6.3,7.78,A
11.8,0.1,10.8,3.8,1.4,1.6,9.6,7.414,A
11.6,0.2,14.2,3.8,1.2,1.4,9.1,7.654,A
12.8,0.2,12.3,3.8,1.6,1.3,9.3,8.084,B
11.6,0.1,12.9,3.1,1.2,1.8,9.3,7.471,A
13.8,0.3,14.3,4.3,0.4,1.1,9.1,8.759,C
13.1,0.3,14.2,4.6,1.2,0.9,8.1,8.46,B
12.8,0.3,13.9,4.1,0.3,0.4,8.1,8.171,B
13,0.3,13.3,3.7,1.6,0.3,8.9,8.257,B
13.3,0.2,12.7,3.8,1.2,0.9,9.6,8.334,B
13.3,0.2,12.8,4.3,1.8,0.4,9.1,8.395,B
13.1,0.1,13.9,4.9,1.8,1.6,9.3,8.475,B
13.8,0.3,10.9,4.9,1.6,1.6,9.3,8.553,B
13,0.2,13.6,3.3,1.3,1.4,9.1,8.265,B
12.9,0.4,13.2,3.1,1.4,1.5,8.1,8.211,B
13,0.2,14.9,4.9,1.5,1.6,8.1,8.527,B
12.7,0.2,11.2,2.8,1.2,0.8,8.9,7.81,A
12.8,0.2,12.3,3.4,1.3,1.2,9.1,8.034,B
13,0.1,14.8,4.5,1.1,1.8,9.3,8.453,B
13.8,0.3,13.5,3.8,1.1,1.5,9.1,8.702,C
12,0.2,12.5,4.9,1.6,1.3,8.4,7.781,A
13.1,0.3,14.8,4.5,1.5,1.5,7.7,8.555,B
12.6,0.1,12.4,5.9,1.4,1.6,8.4,8.121,B
12.4,0.4,12.8,2.7,1.8,1.4,9.1,7.913,B
13.2,0.1,10.6,2.8,1.9,1.1,9.2,8.034,B
13.2,0.2,12.6,3.3,1.5,1.6,8.9,8.285,B
13.1,0.2,13.7,3.9,1.2,1.6,9.6,8.369,B
13.7,0.2,13.6,3.5,1.6,1.5,7.7,8.651,B
13.2,0.3,14.6,5.2,1.6,1.9,9.1,8.656,B
13.2,0.4,13.6,5.8,1.2,1.5,9.2,8.578,B
13.2,0.2,13.5,5.2,1.3,1.3,8.9,8.484,B
13.4,0.1,10.2,2.8,1.4,1.4,9.6,8.076,B
13.3,0.4,14.9,3.2,1.5,1.7,9.2,8.602,B
13.2,0.1,14.9,4.5,1.2,1.6,9.1,8.561,B
13.5,0.1,14.6,3.4,1.2,1.6,8.7,8.604,B
13.4,0.1,13.7,3.9,1.6,1.9,8.7,8.535,B
13.3,0.5,14.2,3.5,1.4,1.5,9.2,8.559,B
13.3,0.5,14.6,4.5,1.5,1.3,8.7,8.667,C
12.7,0.2,13.6,3.5,1.3,1.9,8.1,8.149,B
13.2,0.3,13.5,3.2,1.4,1.4,4.6,8.374,B
12.2,0.2,10.2,3.2,1.2,1.2,4.6,7.504,A
13.9,0.2,14.9,3.2,1.6,1.6,9.1,8.864,C
12.5,0.2,14.9,4.9,1.6,1.2,8.7,8.267,B
13.8,0.4,14.6,3.5,1.3,1.2,8.7,8.811,C
13.9,0.1,13.7,3.9,1.2,1.2,6.8,8.733,C
14,0.5,14.2,3.6,1.4,0.3,8.1,8.868,C
12.4,0.3,12.3,3.3,1.2,1.6,7.4,7.857,B
14,0.1,13.4,3.2,1.5,1.2,6.2,8.722,C
14,0.1,13.8,3.5,1.9,1.8,6.1,8.831,C
13.9,0.3,14.7,3.1,1.4,1.8,7.3,8.853,C
12.5,0.1,14.2,2.8,1.5,1.6,5.6,8.04,B
11.9,0.2,13.2,3.6,1.2,1.3,7.9,7.686,A
13.6,0.4,14.8,3.5,1.5,1.4,6.3,8.751,C
13.6,0.1,14.8,3.6,1.4,1.5,9.6,8.696,C
12.9,0.1,14.6,3.2,1.5,1.2,9.1,8.292,B
13.5,0.5,13.3,3.1,1.6,1.3,9.3,8.545,B
14,0.3,13.8,4.3,1.2,1.1,9.3,8.857,C
13.6,0.2,14.2,2.8,1.3,1.1,9.1,8.578,B
13.2,0.2,10.8,3.6,1.2,1.6,8.1,8.108,B
13.5,0.1,14.2,2.5,1.8,1.5,8.1,8.533,B
13.5,0.1,12.3,1.9,1.2,1.4,8.9,8.261,B
13.1,0.3,12.9,2.5,1.7,1.8,9.6,8.249,B
13.9,0.1,14.3,3.2,1.9,1.9,9.1,8.814,C
13,0.2,14.2,4.8,1.2,1.5,9.3,8.428,B
13.8,0.4,14.9,4.4,1.4,1.2,9.3,8.91,C
13,0.1,14.6,3.6,1.5,1.6,9.1,8.386,B
13.8,0.1,13.7,4.5,1.2,1.6,8.1,8.741,C
13,0.5,14.2,4.6,0.9,1.2,8.1,8.444,B
13.9,0.3,13.2,4.8,0.6,1.3,8.9,8.754,C
12.7,0.2,13.4,4.1,1.3,1.4,9.1,8.151,B
13.9,0.2,13.8,4.2,1.2,1.5,9.3,8.796,C
13,0.2,14.7,4.1,1.3,1.2,9.1,8.423,B
13.8,0.3,14.2,5.1,0.9,1.2,8.4,8.839,C
12.7,0.3,13.2,5.1,0.4,1.6,7.7,8.175,B
13.8,0.2,14.8,5.1,1.9,1.4,8.4,8.947,C
12.8,0.3,14.8,5.2,0.5,1.5,9.1,8.394,B
13.8,0.2,14.6,5.8,1.9,1.3,9.2,8.972,C
13,0.3,13.3,5.2,1.3,1.4,8.9,8.388,B
13.8,0.2,13.8,5.2,1.5,1.2,9.6,8.822,C
12,0.3,12.5,5.6,1.4,1.6,7.7,7.85,B
13,0.4,10.8,5.3,1.6,1.6,9.1,8.191,B
13.1,0.5,14.2,5.4,1.5,1.3,9.2,8.59,B
12.9,0.5,12.3,5.6,0.7,1.2,8.9,8.262,B
13,0.5,12.9,3.2,1.2,1.4,9.6,8.242,B
12.6,0.3,14.3,3.1,1.6,1.2,9.2,8.151,B
12.6,0.2,12.9,3.8,1.3,1.5,9.1,8.034,B
12,0.5,14.2,3.8,0.8,1.9,8.7,7.91,B
13,0.5,13.5,3.8,0.9,1.4,8.7,8.326,B
13.9,0.4,13.6,3.8,0.3,1.5,9.2,8.734,C
13,0.1,12.9,3.1,1.5,1.2,8.7,8.165,B
13.3,0.3,12.4,4.3,1.6,1.5,8.1,8.407,B
13.3,0.1,12.8,4.6,1.4,1.4,4.6,8.412,B
13.1,0.5,10.6,4.1,1.3,1.5,4.6,8.135,B
13.8,0.4,12.6,3.7,1.8,1.6,8.2,8.671,C
13,0.2,13.7,3.8,1.6,1.2,7.7,8.32,B
12.9,0.2,13.6,4.3,0.9,1.3,9.1,8.257,B
13,0.1,14.6,3.9,0.4,1.2,9.2,8.325,B
12.7,0.1,13.6,4.3,0.3,1.8,8.9,8.121,B
12.8,0.2,13.5,4.4,0.9,1.2,9.6,8.2,B
13,0.2,10.2,3.7,0.4,1.7,9.1,7.911,B
13.8,0.1,11.9,3.5,1.6,1.9,8.7,8.527,B
12,0.3,14.9,4.7,1.6,1.2,8.7,8.023,B
13.1,0.3,14.6,4.1,1.4,1.4,6.8,8.497,B
12.6,0.3,13.7,5.2,1.5,1.6,8.1,8.248,B
12.4,0.3,14.2,5.8,1.6,1.2,7.4,8.23,B
13.2,0.2,12.3,3.2,0.8,1.3,6.2,8.194,B
13.2,0.2,13.4,3.5,1.2,1.4,6.1,8.353,B
13.1,0.1,13.8,5.2,1.9,1.5,7.3,8.488,B
13.7,0.3,14.7,3.2,0.5,1.2,5.6,8.682,C
13.2,0.2,14.2,2.8,1.9,1.2,5.8,8.418,B
13.2,0.4,13.2,4.5,1.3,1.6,5.2,8.457,B
13.2,0.2,14.8,4.2,1.5,1.4,5.2,8.56,B
13.4,0.2,14.8,3.8,1.4,1.5,5.6,8.63,B
13.3,0.2,14.6,5.4,1.6,1.3,5.3,8.676,C
13.2,0.1,13.3,5.7,1.5,1.4,5.4,8.495,B
13.5,0.3,13.8,5.6,0.7,1.2,5.6,8.672,C
13.4,0.2,14.2,5.2,1.2,1.6,3.2,8.66,B
13.3,0.3,10.8,5.6,1.6,1.6,3.1,8.342,B
13.3,0.1,14.2,5.2,1.3,1.3,3.8,8.584,B
13.1,0.4,12.3,5.1,0.8,1.2,3.8,8.313,B
13.2,0.1,12.9,4.9,0.9,1.4,3.8,8.363,B
13.5,0.2,14.3,5.1,0.3,1.2,9.3,8.643,B
13.9,0.2,14.2,4.8,1.5,1.5,9.3,8.896,C
12.5,0.2,13.7,5.1,1.6,1.9,9.1,8.189,B
13.8,0.3,12.4,4.3,1.4,1.4,8.1,8.641,B
13.9,0.4,14.6,5.9,1.3,1.5,8.1,9.041,C
14,0.2,13.6,4.1,1.8,1.2,8.9,8.843,C
12.4,0.1,13.5,5.6,1.1,1.5,9.1,8.088,B
14,0.4,12.9,4.8,0.9,1.4,9.3,8.816,C
14,0,12.4,5.9,0.4,1.5,9.1,8.737,C
13.9,0.1,14.6,4.3,0.3,1.6,8.4,8.813,C
12.5,0,13.3,5.7,0.9,1.2,7.7,8.081,B
11.9,0.4,13.8,4.5,0.4,1.3,8.4,7.801,A
13.6,0.5,14.2,3.8,1.6,1.2,9.1,8.73,C
13.6,0.2,10.8,4.3,1.6,1.8,9.2,8.389,B
12.9,0.2,14.2,4.6,1.4,1.2,8.9,8.364,B
13.5,0.3,12.3,4.1,1.5,1.7,9.6,8.485,B
14,0.2,12.9,3.7,1.6,1.9,7.7,8.761,C
13.6,0.2,14.3,3.8,0.8,1.2,9.1,8.632,B
13.2,0.4,14.2,4.1,1.2,1.2,9.2,8.507,B
13.5,0.1,13.9,4.3,1.8,1.3,8.9,8.621,B
13.5,0.4,13.3,3.9,1.5,1.6,9.6,8.587,B
13.1,0.1,12.7,4.3,1.3,1.3,9.2,8.271,B
13.9,0.2,12.8,4.1,1.5,0.8,9.1,8.679,C
13,0,13.9,4.3,1.6,1.9,8.7,8.363,B
13.8,0.3,14.2,3.7,1.4,1.3,8.7,8.775,C
13,0.1,13.6,5.4,1.1,1.5,9.2,8.384,B
13.8,0.1,13.2,4.2,1.6,1.6,9.4,8.694,C
13,0.3,14.9,4.9,1.6,1.4,8.7,8.545,B
13.9,0.1,16.5,4.5,1.5,1.3,6.9,9.077,C
12.9,0.2,12.3,4.6,1.9,1.8,4.2,8.228,B
13.9,0.4,14.8,4.4,1.5,1.6,6.9,8.972,C
12,0.1,13.5,5.3,1.3,0.9,8.2,7.855,B
14,0.1,12.5,5.9,1.4,0.4,4.9,8.783,C
13.1,0.5,14.7,5.7,1.7,0.3,5.2,8.633,B
13.3,0.3,12.4,4.3,1.6,0.9,8.7,8.383,B
13.1,0.2,12.8,5.8,1.6,0.5,9.3,8.392,B
13.2,0.2,10.6,3.9,1.9,1.6,9.1,8.151,B
13.1,0.1,12.6,4.3,1.5,1.6,8.1,8.285,B
13,0.2,13.7,4.9,1.3,1.4,8.1,8.387,B
12.9,0.1,13.6,4.9,1.9,1.5,8.9,8.347,B
12,0.1,14.6,3.3,1.4,1.6,9.1,7.859,B
12.5,0.1,13.6,3.1,1.2,1.8,9.3,7.991,B
